IPMN54,337,1000
IPMN55,337,1000
VD125,179,400
CL14,320,1000
VD-L99,468,900
IPMN56,337,1000
IPMN57,337,1000
IPMN58,390,1000
VD126,176,400
VD127,136,400
VD128,143,400
VD129,297,550
VD-L100,283,800
VD130,82,200
CS135,666,1300
VD131,204,400
VD132,204,400
TL111,160,350
VD133,88,400
VD134,88,400
VD135,172,400
VD136,172,400
IP206,410,950
CS136,737,1300
IPMN59,364,900
IP207,467,950
CS137,714,1300
IP208,465,1000
VD-L101,238,600
VD137,238,550
VD138,295,550
TL112,157,350
TL113,170,350
TL114,174,350
TL115,174,350
TL116,174,350
TL117,174,350
TL118,249,500
VD139,180,450
VD140,180,450
CS138,953,1450
IP209,477,1250
IP210,410,1100
IP211,463,1100
IP212,463,1100
CS139,635,1300
IPMN60,470,1000
IP213,580,1100
CS140,1002,1600
IP214,636,1150
VD-L102,480,900
IP215,430,950
VD-L103,321,800
IP216,819,1600
CS141,866,1600
TR27,901,1700
TR28,901,1700
IP217,842,1500
VD141,190,550
PC12,140,350
KC05,28,60
KC06,24,50
VD-L104,231,900
VD142,156,400
VD-L105,230,600
VD-L106,220,600
IP218,710,1250
TL119,156,350
TL120,176,350
TL121,253,550
TR29,914,1700
CS142,968,1700
IP219,464,1000
TL122,148,350
VD143,228,400
VD144,63,300
VD145,63,300
VD146,63,300
TR30,409,1050
CS143,644,1300
VD-L107,241,600
VD-L108,241,700
KC07,16,30
VD147,163,400
IPMN61,329,900
VD148,198,400
CS144,977,1700
CS145,769,1600
IP220,496,1000
IP221,615,1100
X-PC01,104,200
X-PC02,168,250
X-VD01,105,250
X-VD02,97,200
X-VD03,116,250
X-VD04,110,250
IP222,580,1100
IPMN62,698,1200
IP223,882,1400
IP224,576,1100
CS146,1303,1950
CS147,1303,1950
CS148,1089,1600
CS149,994,1700
IPMN63,451,1000
CS150,980,1600
CS151,546,1100
VD149,111,300
CS152,912,1500
X-VD05,70,200
VD-L109,356,800
IP225,586,1100
BL26,1124,1800
BL27,1124,1800
BL28,676,1300
BL29,757,1400
BL30,1097,1800
IP226,711,1250
KC08,66,150
VD150,175,400
VD151,168,400
VD152,168,400
X-VD06,101,270
X-LW01,118,470
X-KC01,18,50
X-PH01,79,200
X-KC02,17,50
X-ZP01,29,120
X-KC03,40,170
X-VD07,68,300
X-CH01,34,220
X-CH02,57,220
X-VD08,51,220
X-GH01,63,270
TL123,162,350
TL124,179,350
